"PlaylistTrackId","PlaylistId","TrackId","Position","Score","Reason"
"d2fd0662-3f6b-4ac6-86ce-7a3d92154fcf","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","202","21","0,360115","Matches Late Night Drive Mix through rock, pop, alternative."
"65e0fd54-d021-4ecd-913e-a51ab1911e02","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","183","22","0,349921","Matches Late Night Drive Mix through pop, rock, popfolk."
"492b935e-862b-4ce1-9edf-2c158d527302","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","28","23","0,333815","Matches Late Night Drive Mix through electronic, alternative, synthesizer."
"89d8f1a8-b90e-4ea5-898d-f2507cbfaf74","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","27","24","0,333593","Matches Late Night Drive Mix through electronic, alternative, synthesizer."
"b07146f9-77c5-46ff-b390-5327c3947d6e","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","177","25","0,071201","Popularity and freshness fallback while your taste profile grows."
"b716daca-dca3-45b7-a634-06b99883da5f","aa0c0a48-37b7-4315-9bd0-159562e65bec","74","1","0,442039","Fits your recent listening profile."
"2892e816-4fb9-450b-8245-6def2279a60f","aa0c0a48-37b7-4315-9bd0-159562e65bec","145","2","0,438373","Fits your recent listening profile."
"05217b78-6b64-4551-b3b4-23af389ea52a","aa0c0a48-37b7-4315-9bd0-159562e65bec","153","3","0,433448","Fits your recent listening profile."
"76410735-797d-4df0-acd4-a6ef9916bca4","aa0c0a48-37b7-4315-9bd0-159562e65bec","134","4","0,425474","Fits your recent listening profile."
"d5afff65-9927-44d2-855b-c39c23d5356b","aa0c0a48-37b7-4315-9bd0-159562e65bec","48","5","0,422570","Fits your recent listening profile."
"e13243a8-4abe-48da-9f3f-274800662135","aa0c0a48-37b7-4315-9bd0-159562e65bec","184","6","0,415497","Fits your recent listening profile."
"e7d638ba-feef-4d4e-a0b7-fb98e59628c4","aa0c0a48-37b7-4315-9bd0-159562e65bec","190","7","0,401753","Fits your recent listening profile."
"45ed62be-ee44-4cd8-8b78-7f299f850eda","aa0c0a48-37b7-4315-9bd0-159562e65bec","185","8","0,395822","Fits your recent listening profile."
"077ba81a-8fdf-4d79-840c-d02bdd82ae1c","aa0c0a48-37b7-4315-9bd0-159562e65bec","62","9","0,391627","Fits your recent listening profile."
"c2434ad2-a431-47d7-8ce6-ff0945cc39ba","aa0c0a48-37b7-4315-9bd0-159562e65bec","55","10","0,386661","Fits your recent listening profile."
"fe79a559-4f89-4650-9f90-d3317690e7ec","aa0c0a48-37b7-4315-9bd0-159562e65bec","70","11","0,385682","Matches 3am and Alone Mix through chillout, downtempo, ambient."
"d30d5011-f955-416d-8e17-56324bbfce42","aa0c0a48-37b7-4315-9bd0-159562e65bec","69","12","0,383870","Fits your recent listening profile."
